CD4_S2	CD14_S1	CD19_S2	CD4_S3	CD4_S4	CD14_S3	CD56_S4	CD56_S1	CD14_S2	CD56_S2	CD19_S1	CD56_S3	CD14_S4	CD19_S3	CD4_S1	CD19_S4
hsa-mir-5001	562.78876578005	258.107995755161	619.027091678957	523.441842093944	698.848783631855	385.404800809983	693.835859338102	403.197098245729	354.783371173636	471.303551885809	626.878827019818	595.587717927481	402.780649815839	848.952156896974	437.461954991813	624.216922190329
hsa-mir-6719	697.935296156048	330.481625466193	811.594931947578	551.424582080098	324.332746658933	325.711125840454	437.359568921294	534.29123674639	304.908027689806	564.108498396142	857.064974160318	370.105833546548	338.722857682657	605.840191174764	763.385596955912	324.178954065696
hsa-mir-1302-4	1398.76658939158	55.3879819217084	1141.35702751487	790.100893726708	282.513338063942	128.601809833685	544.449669130417	289.178246692634	83.8111442047865	454.926208383986	1108.12968339973	271.498595479084	140.558464752667	896.15208641219	910.413373219717	670.199752554257
hsa-mir-6748	587.887407135592	427.595220435589	585.141763563019	237.853289882311	253.704412142948	344.540674320775	280.774044245769	862.026582998042	751.215225050264	782.018152212072	477.075143960128	365.504162436733	416.145225152978	226.30103192227	690.23384620397	208.072307396776
hsa-mir-1248	230.714433999025	843.743591274024	218.188454209939	249.375594582492	342.919150478929	640.204648330929	366.266141051371	344.810633199217	827.313687273015	373.494417083252	357.54537594386	439.130900193772	764.545878769425	327.166634721911	347.651884761706	296.589255847339
hsa-mir-1246	260.639737153711	585.266342306052	838.86848872382	217.277745774845	406.112923466916	193.103029096062	310.47129892561	663.182112415107	591.819797421529	457.65576563429	469.245683173037	284.646227221412	377.434041417817	473.939018282926	868.405437144344	1031.1649709111
hsa-let-7e	678.628648959477	358.544869639859	603.324134747181	639.487910860054	408.900884039915	429.874585518828	547.149419555857	441.203382096761	498.239256039498	530.443958975727	573.116529615121	427.955413212793	353.009127870633	572.218323574883	493.23111150567	428.789893143633
hsa-mir-7845	296.357034467367	641.762083866195	251.247310908415	260.074877518375	288.08925920994	358.562678508249	271.774876160968	854.315163086238	780.009237783197	435.819307631858	283.948444545197	266.239542782152	350.70489074354	248.284560737576	1560.81210762807	274.747411424473
hsa-mir-1301	270.293060751996	578.989037688258	253.726725160801	240.322355175207	387.52651964692	859.348542346585	458.057655516334	306.804349348185	750.18686745266	338.920025246069	310.046647168836	459.509729394381	694.957917531219	360.788502321791	287.537079688327	344.871227729463
hsa-mir-30d	410.266252927137	427.225967222777	417.368065818255	327.562662190864	357.788273534926	599.340521841721	454.457988282414	415.865859529407	655.577968473023	469.028920843889	394.082859616955	353.013912281521	617.074702635479	393.76379554475	609.839347852825	317.281529511106
hsa-mir-596	322.421008182739	294.664063823489	316.538552887905	396.696490391951	499.974262757897	572.498399539986	715.433862741622	472.049061743976	506.466116820336	524.074992058352	239.059536032537	706.685206150157	680.671647343243	422.213068129264	212.936779416545	398.901053407079
