CD4_S2	CD56_S2	CD4_S3	CD56_S3	CD19_S3	CD19_S2	CD56_S1	CD14_S3	CD14_S1	CD14_S2	CD19_S1	CD14_S4	CD4_S1	CD4_S4	CD56_S4	CD19_S4
hsa-miR-181a-2-3p	65.6276157191528	1912.68410036819	79.9424137454209	2602.90694970573	257.516065349591	109.486930046569	2501.1439679292	322.632822715375	154.163581468767	264.404448033276	70.6079299234622	347.396848517114	133.644469298487	155.640308656415	2166.45636975276	275.093014281254
hsa-miR-3664-3p	1818.70902381761	504.373972690478	1457.27375233683	696.927403065022	953.59724002877	1566.31234830773	776.920574522883	125.004812444967	40.0974743400184	148.230040041748	835.103861828574	251.334260268355	943.218389453863	884.293868637405	1025.70225148396	1186.81870240791
hsa-miR-185-5p	329.627358831448	550.273815414059	325.149486839404	594.03816832749	305.14533480381	301.089057628066	600.361895818976	1169.46102503501	1116.33693053877	1212.1172159942	234.908236883653	1320.30723249735	308.776117409879	680.367215143591	532.167952084085	304.906691645384
hsa-miR-106b-3p	385.822866391267	662.330440796341	369.698269941929	647.348223070627	490.603157898688	270.175968888502	627.25122109155	1052.04088077025	545.093201897642	785.690083516612	439.620436589805	1303.54054802766	473.904927941875	756.753689399429	788.38124213813	372.085108762813
hsa-miR-152-3p	206.116384618701	1404.40172985494	137.799201969675	1725.57102545709	302.615707442812	157.66413039725	1690.03464572797	559.369278289954	453.358814432382	467.750549304228	131.282210233392	590.320098754471	174.475724335694	321.25903061652	1561.69111427308	230.56778433133
hsa-miR-93-5p	225.675598380687	406.997670837648	199.148161750694	402.105389586647	233.809843223668	249.665614068458	361.290214973261	1092.95068476722	1147.21945735966	1216.75110838241	220.459291991242	1307.02669034314	281.391299774483	742.187499864157	365.321517964384	196.327622118377
hsa-miR-6794-5p	310.56457181469	292.605539439316	425.667397865228	592.628726755743	569.093881157082	217.203181979178	317.805621667033	984.300313085814	863.299452716049	652.888179308559	301.283077483166	1499.20720243297	315.007393279011	523.579962429281	584.280928644373	602.522702363295
hsa-let-7c-5p	906.574522135528	616.335271296595	1169.31117342623	578.617219366023	819.599264963336	613.53996648738	479.453514430929	438.441224991846	363.99042700582	451.66821689808	732.945306143948	339.151845263044	773.744083907867	550.762536601403	881.887418002924	463.088429625376
hsa-miR-30b-5p	954.430060375515	887.110978994063	810.466950214793	383.533924170686	731.062307328408	923.556192939998	840.369400050047	308.553782405874	267.191969282297	406.201555112564	1004.25811121356	305.729147508292	384.125361143198	398.907143336043	786.470786785614	376.641784342483
hsa-miR-548az-5p	294.182489222163	261.862654126014	417.456075556076	568.585311708294	544.086707816931	200.086626877558	296.156907352455	1007.81278444444	875.420014317794	648.799450730725	249.187858203106	1537.11208316476	281.227318830559	506.490495966638	565.813193570055	578.827989349008
hsa-miR-548an	284.452525015692	252.949600554561	406.885177870731	559.631212311313	537.292851475965	183.855410832919	289.855696557722	994.63442348134	866.122049253442	636.914879664487	240.608797173237	1522.78016475668	272.454338330597	499.494137213476	556.473189624423	568.673112342885
hsa-miR-1260b	492.852472662442	1109.74666472807	449.829449717445	337.022352303035	397.440595946507	1135.74245359629	1125.54597968099	176.01170595683	132.952598665713	455.102748903461	723.801833204219	338.543153747643	728.075391024887	522.088935154017	650.616183940056	857.566344093998
hsa-miR-6798-3p	294.281774571209	268.630855233749	414.81335113474	552.501096124828	536.859201071222	206.874226314408	286.798673498891	948.699776814988	830.299978492121	632.39002003835	261.604920220022	1460.3062810396	294.181813400596	485.386725301362	559.020463427777	587.941340508349
hsa-miR-383-5p	285.544663855194	267.963567800592	397.82440842615	541.142655223102	536.570100801394	187.544323570337	277.87715722516	940.972896106406	823.326504693857	621.704809354944	263.919009050447	1449.18382698546	279.09556655954	476.669950461356	548.300686171995	578.958180079856
hsa-miR-153-5p	1355.7414412179	416.625675230341	1333.34885357918	429.299321088589	755.419005061445	1202.21666112456	293.661378324838	156.33897286443	82.6854750365598	165.947863879029	375.108155292829	278.559371684478	291.312146881917	1278.15445811871	848.985131376266	1657.06762222991
